Signal
-0,214785
-0,149629
0,701039
1,135212
0,533537
0,398595
1,010090
1,170284
0,128234
-0,670054
0,890905
0,021148
-0,052642
0,202895
-0,496818
0,036155
-0,966673
-1,207572
-0,361693
-0,518280
-0,071567
0,067607
-0,511592
0,648835
0,098089
0,663701
1,295149
0,837100
-0,309534
0,241110
0,279304
-0,830845
-0,260950
0,225530
-0,424873
-1,569855
0,161316
-0,884741
-0,660147
0,100577
0,045848
0,505507
0,197826
-0,089070
0,141535
1,158211
0,027521
0,971909
0,325262
0,293582
-0,508533
-0,239350
-0,974108
-0,463054
-0,552455
-0,148771
-0,938556
-0,849104
-0,798121
0,003337
0,036706
0,258668
0,523347
0,265294
1,286014
0,294595
0,605694
0,260172
0,016737
0,379919
0,761463
0,158609
-0,404998
-0,366304
-0,184578
-0,936619
-1,320700
-0,610577
-0,681922
0,260915
-0,388191
0,361879
0,568944
-0,062499
0,978377
-0,292645
0,559149
0,317957
0,137445
0,146781
0,443687
-0,361706
0,183382
-0,613821
-0,662389
-0,636164
-1,383887
0,001276
0,110870
-0,937464
-0,189624
-0,597719
-0,299573
0,846903
0,985272
0,161407
0,514015
0,563444
0,662750
-0,354969
0,187457
0,385132
0,564556
-0,654872
-0,412634
-0,874527
-0,292415
0,373497
0,919744
-0,281535
-0,328477
-0,011334
0,095871
1,259998
0,541622
0,944500
2,185051
0,901670
0,692900
-0,581999
-0,044431
-0,177241
-0,375697
0,271879
-0,226796
-1,180450
-0,541031
-0,489239
-0,608945
-0,860965
0,041785
0,619991
-0,288582
0,411446
0,424123
0,338623
1,324419
0,347556
0,744440
0,765482
-0,758158
-1,264531
-1,409650
-0,859783
-0,533346
-0,687902
-0,660355
-0,229105
-0,360588
-0,659218
-0,686494
0,779750
1,134645
0,439181
0,530870
1,247611
0,841238
0,162440
0,096881
-0,227578
-0,279679
-0,231012
-0,145016
0,552516
-0,385932
-0,414471
0,292382
-0,778363
0,092053
-0,686954
-0,258186
0,301425
0,825000
